,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERROR",,,,,,,,,,,,,"Carlos"
,,,,,,,,"Nota De Envio","0",,,,"Pedido tomado :",,,,,"Nro. Bultos:",,,,"0",,,,,"7186",,,"AncientWisdom.biz",,"http://www.ancientwisdom.biz/pics/",,,,,,,"DELIVERY NOTE","David"
,,,,,,,,"Costa Import S.L. Pol. Ind. Perez Texeira, C/ Leda, Nave 8-10, CP: 29006  Málaga",,,,,"Comprobado: Empaquetado:",,,,,"Peso:",,,,,,,,,"ERROR",,,,,,,,,,,,"DELIVERY NOTE","Valeria",,,,,,,,,,,,
,"Instrucciones",,,,,,,"CIF / IVA : ES B-92544691",,,,,,,,,,"Peso aprox.",,"289.4196",,,,,,,,,,,,,,,,,,,,"Jesus"
,,,,,,,,"Cliente","Hecho por:","    Nro. cliente",,,"   Pedido Nro","Order Date",,"Fecha Ped.",,,"Order Date",,"Order Date","Today is",,,,,,,,,,,,,,,,,,"Dany",,,,,,,,,"REQ. REGALO BIENVENIDA",,
,,"Carriage",,"Forma de Pago",,,,"Nombre de la Empresa","0","0",,"20200",,,"","41788",,,"Invoice Date",,,"41888",,,,,,,,,,,,,,,,,"SAMPLE ORDER","Lucia"
,,"113.373644",,"0",,,,"Dirección",,"Instrucciones Especiales",,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,"Borja"
,"+","0.0733932391598717",,"0",,,,"0",,"0",,,,,,"Cargo Min.",,"Sub Total",,"1544.74234",,"Adj Sord","Plus Balear","1",,,,,"Coste de Transporte Aprox",,"1",,,,,,,,,"Trini"
,"25.725","Pcont","0","Pedido Estandar",,,,"Dirección",,,,,,,,"S/C",,"IVA",,"324.3958914",,,"0","1",,,"Apr-02","15","Coste Base","6.3500048828125",,,,,,,,,,
,"27.0725","1431.368696","0","(Mirar Abajo)",,,,"Ciudad",,"C.I.F. / N.I.F.",,,,,,"0",," ",,"0",,"0","0",,,,,,"Cost per KG","0.390000305175781",,,,,,,,,,,,"Internet"
,"o","0.926606760840128",,,,,,"Código Postal",,"noCif",,,,,,"Portes",," ",,"0",,"Adj Carriage",,,,,,,,"1",,,,,,,,,,
,,,,,,,,,,,,,,,,"gratis",,"A pagar",,"1869.1382314",,,"Gratis",,,,,,,,,,,,,,,,,
,,,,,,,,"Pais",,,,,,,,"0",,"PD: No es su factura",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"0",,"Total Unids.",,,,,,"Precio Neto",,"Valor Venta Publico",,,,,"Credit","Retail Value",,,,"%Bcio","coste prod.","113.373644","Total lost",,,"Test Add","test2",,,,,
,,,,,,,,"Ciudad",,"118","0","0","0","118",,"1544.74234",,"3227.1524",,,,,"Order No","3227.1524",,,,,,"289.4196","Order Value",,,"2","1","1",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Retailers","List","order",,"Referencia","W","Unid.","Descripcion","Coste","Pedido","Repitan","Prod'tn","Abono","Total",,"Valor ",,"PVP",,,,"Apx Weight","289.4196",,"Sales V/unit","Cost","Margin%",,"Weight KGs","Total weight","0","value",,,"790.587","25.725","27.0725",,,
"all","Profit %",,,,,"P",,,,," Pedido",,"Stock"," Unids.",,"1528.31734",,,,"Descuento",,"510.577600000001",,"0",,,,"0",,"0",,"BONUS STOCK CHECK","Items",,"AW","RT","COSTA","test","test",,"Auxiliar"
,,,"16.425",,,,,"Fragrancias de casa - AW -Regalos ","Cost",,,,"          Sub Total:",,,"16.425",,,,"0",,,,,,,,,,,,"0","1","0","0","0","0","0","0",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"0",,,,,"30% Desc. comprando 1 o más",,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,,,
,"Fragrance Oils",,"0","0","FO",,,"Aceites de Fragancia 10ml","Total Ped.:","0",,,,,,,,,,,,,,"0",,,,,,,,,,,"0","0","0","0","0",,,"1;30"
,"0.4432",,"0","AW","FO-A1",,"10","Aceite de Fragancia Ámbar","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-A2",,"10","Aceite de Fragancia Anti-Tabaco","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-A4",,"10","Aceite de Fragancia Manzana Ácida","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-A3",,"10","Aceite de Fragancia Manzana Fresca","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-A5",,"10","Aceite de Fragancia Almizcle Árabe","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-A6",,"10","Aceite de Fragancia Aromático","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-B1",,"10","Aceite de Fragancia Polvo Talco","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-B2",,"10","Aceite de Fragancia Mora","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-B3",,"10","Aceite de Fragancia Buganvilla","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-B4",,"10","Aceite de Fragancia Mantequilla","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C1",,"10","Aceite de Fragancia Amapola","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C2",,"10","Aceite de Fragancia Cannabis","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C3",,"10","Aceite de Fragancia Capuchino","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C4",,"10","Aceite de Fragancia Clavel","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C5",,"10","Aceite de Fragancia Cedro","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C6",,"10","Aceite de Fragancia Century","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C7",,"10","Aceite de Fragancia Manzanilla","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C8",,"10","Aceite de Fragancia Cereza","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C17",,"10","Aceite de Fragancia Mañana de Navidad","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C18",,"10","Aceite de Fragancia Arbol de Navidad","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C10",,"10","Aceite de Fragancia Canela y Genjibre","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C11",,"10","Aceite de Fragancia Canela y Naranja","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C9",,"10","Aceite de Fragancia Canela","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C12",,"10","Aceite de Fragancia Coco","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C13",,"10","Aceite de Fragancia Almizcle Fresco","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C14",,"10","Aceite de Fragancia Coolriver","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C16",,"10","Aceite de Fragancia Pepino","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C15",,"10","Aceite de Fragancia Hierba Cortada","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-D1",,"10","Aceite de Fragancia Almizcle de Violeta","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-D2",,"10","Aceite de Fragancia Violeta","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-D3",,"10","Aceite de Fragancia Frambuesa","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-D4",,"10","Aceite de Fragancia Drakkon","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-D6",,"10","Aceite de Fragancia Sueño","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-E1",,"10","Aceite de Fragancia Oriente Mágico","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-E2",,"10","Aceite de Fragancia Elderflower","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-E3",,"10","Aceite de Fragancia Aprecio","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-E4",,"10","Aceite de Fragancia Eucalipto","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-E5",,"10","Aceite de Fragancia Onagra","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
